path,size_bytes,extension,corpus,guessed_class
ios/rhea-plus-ui/.build/index-build/repositories/Pow-4ef6615c/objects/pack/pack-557b09286b33bca0582509ef284585de9b169787.pack,26978882,.pack,unknown,other
packages/RheaKit/.build/repositories/Pow-4ef6615c/objects/pack/pack-557b09286b33bca0582509ef284585de9b169787.pack,26978882,.pack,ui_assets,other
rhea-dash/target/debug/deps/libegui-7117f8777133e68e.rlib,26666056,.rlib,ui_assets,other
frontier-gem/target/debug/deps/libmoxcms-3b49b5c825d702df.rlib,26387944,.rlib,unknown,other
rhea-dash/target/debug/deps/libmoxcms-3b49b5c825d702df.rlib,26387944,.rlib,ui_assets,other
.git/objects/3a/701ff3fe12cf2003ecdd6c1ee162471cda282a,26340908,[none],unknown,other
rhea-atlas/node_modules/@napi-rs/canvas-darwin-arm64/skia.darwin-arm64.node,26266032,.node,ui_assets,other
rhea-dash/target/debug/deps/libwgpu-cc3b01a66abafa1e.rlib,26160936,.rlib,ui_assets,other
vendor/libtailscale/libtailscale_ios_sim_x86_64.a,25750992,.a,unknown,binary_artifact
vendor/libtailscale/swift/build/Build/Intermediates.noindex/TailscaleKit.build/Release-iphonesimulator/TailscaleKit iOS Sim.build/Objects-normal/x86_64/Binary/TailscaleKit,24825856,[none],app_bundles,other
.git/objects/43/fd9407911552cde405d09e36edd49d9f1c8c12,24216472,[none],unknown,other
.git/objects/c6/1d2fac95ccb9e84c2ec5130fc2361802b80637,23845785,[none],unknown,other
