path,size_bytes,extension,corpus,guessed_class
packages/RheaKit/.build/repositories/swift-collections-9a58d5cf/objects/pack/pack-4e41046a0112a41899a2374b10718496763e7771.pack,18655873,.pack,ui_assets,other
rhea-dash/target/debug/deps/libobjc2_foundation-49e228cdfa08d4fb.rlib,18168808,.rlib,ui_assets,other
frontier-gem/target/debug/deps/libreqwest-818312bbfb0eb614.rlib,17902064,.rlib,unknown,other
.git/objects/61/47cbb9469fb9c7dc3f6857cd59d8b7de195c06,17501809,[none],unknown,other
rhea-dash/target/debug/deps/libobjc2_app_kit-e302e7b755656054.rlib,17429616,.rlib,ui_assets,other
rhea-dash/target/debug/deps/libimage-66e60d64b9dc58dc.rlib,17191440,.rlib,ui_assets,other
build/export-testflight/RheaApp.ipa,17045301,.ipa,unknown,binary_artifact
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata2.db,17021952,.db,app_bundles,database
packages/RheaKit/.build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata2.db,17021952,.db,ui_assets,database
packages/RheaKit/.build/index-build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata2.db,17021952,.db,ui_assets,database
ios/RheaApp/build/DerivedData/SourcePackages/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata7.db,16819200,.db,app_bundles,database
packages/RheaKit/.build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata7.db,16819200,.db,ui_assets,database
packages/RheaKit/.build/index-build/checkouts/GRDB.swift/SQLiteCustom/src/sqlite/test/fuzzdata7.db,16819200,.db,ui_assets,database
.git/objects/b8/1230a3a12bbd2d718b015080ee63b4c20f084e,16277148,[none],unknown,other
.git/objects/47/f592f31c1dacec57d5e7759baa8fb7fe3eb36f,16253471,[none],unknown,other
rhea-atlas/node_modules/@img/sharp-libvips-darwin-arm64/lib/libvips-cpp.8.17.3.dylib,16076984,.dylib,ui_assets,binary_artifact
.git/objects/5f/42211e09c8a4b81e42601a45f52c65e60522bf,15758308,[none],unknown,other
.git/objects/43/25e42bd59ec1dd4319504dea6f778958a05799,15656294,[none],unknown,other
.git/objects/87/f8d9ee322045cc37f571075cd542798c3c1513,15620179,[none],unknown,other
.git/objects/28/ffe03cae76be4da108e3d46175d0111d3acdd6,15611064,[none],unknown,other
.git/objects/4d/935ba1c3868743ad7c2eaa9be1761732f98e92,15602699,[none],unknown,other
rhea-session-server/target/debug/deps/libsqlx_sqlite-b7d31aa092c8e1f5.rlib,15595768,.rlib,unknown,other
rhea-cli/target/debug/deps/libsqlx_sqlite-73cca52d9464d267.rlib,15562128,.rlib,unknown,other
rhea-dash/target/debug/deps/libobjc2_foundation-05cd3edf817659f1.rlib,15276208,.rlib,ui_assets,other
rhea-cli/target/release/deps/libzerocopy-907cac4afe972e3e.rlib,15093368,.rlib,unknown,other
rhea-session-server/target/release/deps/libzerocopy-907cac4afe972e3e.rlib,15093368,.rlib,unknown,other
rhea-cli/target/release/deps/libzerocopy-907cac4afe972e3e.rmeta,15092411,.rmeta,unknown,other
rhea-session-server/target/release/deps/libzerocopy-907cac4afe972e3e.rmeta,15092411,.rmeta,unknown,other
docs/system-docs/node_modules/.cache/webpack/client-production-en/0.pack,15008039,.pack,unknown,other
