ts_utc	ndi_596x_listen	ndi_596x_established	tracked_processes
2026-02-28T10:11:09Z	2		  405 /usr/libexec/opendirectoryd;  519 Core Audio Driver (NDIAudio.driver);  554 /Library/SystemExtensions/01BF2AF3-188A-436E-AB83-B6BFC2F3F326/com.newtek.Application-Mac-NDI-VirtualInput.Extension.systemextension/Contents/MacOS/com.newtek.Application-Mac-NDI-VirtualInput.Extension;24023 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer;24158 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal;49705 /Applications/Claude.app/Contents/Helpers/chrome-native-host;62611 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/textunderstandingd;63320 Core Audio Driver (NDIAudioOut.driver);64121 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/textunderstandingd;66503 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/bulletindistributord;46356 claude;
2026-02-28T10:11:10Z	2		  405 /usr/libexec/opendirectoryd;  519 Core Audio Driver (NDIAudio.driver);  554 /Library/SystemExtensions/01BF2AF3-188A-436E-AB83-B6BFC2F3F326/com.newtek.Application-Mac-NDI-VirtualInput.Extension.systemextension/Contents/MacOS/com.newtek.Application-Mac-NDI-VirtualInput.Extension;24023 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer;24158 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal;49705 /Applications/Claude.app/Contents/Helpers/chrome-native-host;62611 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/textunderstandingd;63320 Core Audio Driver (NDIAudioOut.driver);64121 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/textunderstandingd;66503 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/bulletindistributord;46356 claude;
2026-02-28T10:11:11Z	2		  405 /usr/libexec/opendirectoryd;  519 Core Audio Driver (NDIAudio.driver);  554 /Library/SystemExtensions/01BF2AF3-188A-436E-AB83-B6BFC2F3F326/com.newtek.Application-Mac-NDI-VirtualInput.Extension.systemextension/Contents/MacOS/com.newtek.Application-Mac-NDI-VirtualInput.Extension;24023 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer;24158 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal;49705 /Applications/Claude.app/Contents/Helpers/chrome-native-host;62611 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/textunderstandingd;63320 Core Audio Driver (NDIAudioOut.driver);64121 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/textunderstandingd;66503 /Library/Developer/CoreSimulator/Volumes/iOS_23C54/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS 26.2.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/bulletindistributord;46356 claude;
