"Title","URL","Description","h1 headings","h2 headings","h3 headings","h4 headings","Title length","Description length","Response time","Content","Link count","Word count","Possible duplicates","Internal backlinks","Last modified","Robots","Canonical","Image count","Image weight","Depth","Internal links","External links","Redirects to here"
"Alert - Createwithplay","https://docs.createwithplay.com/en/articles/alert-action","An action that adds an alert item to a native alert.","Alert","Overview, Action Properties","Title, Style, Preferred Action","","22","52","0.73940 s","350kb","113","465","","726","","","https://docs.createwithplay.com/en/articles/alert-action","7","15kb","2","171","0","0"
"Format Number - Createwithplay","https://docs.createwithplay.com/en/articles/format-number-action","An action that formats a number variable displayed in a text element.","Format Number","Overview, Action Properties","Target, Variable, Format, From, To, Code, Style","","30","69","1.11876 s","367kb","117","609","","704","","","https://docs.createwithplay.com/en/articles/format-number-action","7","15kb","2","175","0","0"
"Snapshot - Createwithplay","https://docs.createwithplay.com/en/articles/snapshot-action","An action that captures an object's view.","Snapshot","Overview, Action Properties, Expression Editor Properties","Target, Snapshot Image","","25","41","1.23712 s","354kb","111","398","","693","","","https://docs.createwithplay.com/en/articles/snapshot-action","7","15kb","2","169","0","0"
"Timer - Createwithplay","https://docs.createwithplay.com/en/articles/timer","A helper that fires every X seconds.","Timer","Overview, Timer Properties","Interval, Repetitions, Fires Immediately","","22","36","0.70126 s","309kb","39","237","","94","","","https://docs.createwithplay.com/en/articles/timer","7","15kb","1","97","0","0"
"Alert - Createwithplay","https://docs.createwithplay.com/en/articles/alert-trigger","A single trigger that creates a native alert.","Alert","Overview, Trigger Properties","Title, Message, Preferred Style, Build on Load","","22","45","0.79123 s","327kb","68","335","","447","","","https://docs.createwithplay.com/en/articles/alert-trigger","7","15kb","3","126","0","0"
"Timer - Createwithplay","https://docs.createwithplay.com/en/articles/timer-trigger","A continuous trigger that fires every X seconds.","Timer","Overview, Trigger Properties, Resources, Timer Template, Timer Project","Interval, Auto Start, Repeat, Fires Immediately","","22","48","0.60234 s","334kb","70","344","","409","","","https://docs.createwithplay.com/en/articles/timer-trigger","7","15kb","3","128","0","0"
"Snapshot - Createwithplay","https://docs.createwithplay.com/en/articles/snapshot","An expression editor function that captures a screenshot of a view within the prototype.","Snapshot","Overview, Parameters","","","25","88","0.67381 s","331kb","60","239","","154","","","https://docs.createwithplay.com/en/articles/snapshot","7","15kb","7","118","0","0"
"Format Number - Createwithplay","https://docs.createwithplay.com/en/articles/format-number","An expression editor function that formats a number for display.","Format Number","Overview, Parameters, Example","","","30","64","1.03119 s","338kb","40","300","","58","","","https://docs.createwithplay.com/en/articles/format-number","7","15kb","7","98","0","0"
